7.576 ACK: 0 | Send ACK
7.876 ACK: 1 | DATA Corrupted
7.876 ACK: 1 | Send ACK
7.879 ACK: 0 | DATA Corrupted
7.880 ACK: 0 | Send ACK
7.884 ACK: 1 | Send ACK
7.885 ACK: 0 | Send ACK
7.886 ACK: 1 | Send ACK
7.886 ACK: 0 | Send ACK
7.886 ACK: 1 | Send ACK
7.887 ACK: 0 | Send ACK
7.887 ACK: 1 | Send ACK
7.887 ACK: 0 | DATA Corrupted
7.887 ACK: 0 | Send ACK
7.888 ACK: 1 | Send ACK
7.888 ACK: 0 | Send ACK
7.889 ACK: 1 | Send ACK
7.889 ACK: 0 | Send ACK
7.889 ACK: 1 | Send ACK
7.890 ACK: 0 | Send ACK
7.890 ACK: 1 | Send ACK
7.890 ACK: 0 | Send ACK
7.891 ACK: 1 | Send ACK
7.891 ACK: 0 | Send ACK
7.891 ACK: 1 | Send ACK
7.892 ACK: 0 | Send ACK
7.893 ACK: 1 | DATA Corrupted
7.894 ACK: 1 | Send ACK
7.894 ACK: 0 | Send ACK
7.895 ACK: 1 | Send ACK
7.896 ACK: 0 | DATA Corrupted
7.896 ACK: 0 | Send ACK
7.897 ACK: 1 | Send ACK
7.899 ACK: 0 | Send ACK
7.899 ACK: 1 | Send ACK
7.900 ACK: 0 | Send ACK
7.900 ACK: 1 | Send ACK
7.900 ACK: 0 | Send ACK
7.901 ACK: 1 | Send ACK
7.902 ACK: 0 | DATA Corrupted
7.902 ACK: 0 | Send ACK
7.903 ACK: 0 | DATA Corrupted
7.903 ACK: 1 | Send ACK
7.903 ACK: 0 | Send ACK
7.904 ACK: 1 | Send ACK
7.904 ACK: 0 | Send ACK
7.905 ACK: 1 | Send ACK
7.905 ACK: 0 | Send ACK
7.905 ACK: 1 | Send ACK
7.906 ACK: 0 | Send ACK
7.906 ACK: 1 | Send ACK
7.907 ACK: 0 | Send ACK
7.907 ACK: 1 | Send ACK
7.908 ACK: 0 | Send ACK
7.908 ACK: 1 | Send ACK
7.909 ACK: 0 | DATA Corrupted
7.909 ACK: 0 | Send ACK
7.909 ACK: 1 | Send ACK
7.910 ACK: 0 | Send ACK
7.910 ACK: 1 | Send ACK
7.911 ACK: 0 | Send ACK
7.912 ACK: 1 | Send ACK
7.912 ACK: 0 | Send ACK
7.913 ACK: 1 | Send ACK
7.913 ACK: 0 | Send ACK
7.914 ACK: 1 | Send ACK
7.914 ACK: 0 | Send ACK
7.915 ACK: 1 | Send ACK
7.915 ACK: 0 | Send ACK
7.915 ACK: 1 | Send ACK
7.920 ACK: 0 | DATA Corrupted
7.920 ACK: 0 | Send ACK
7.920 ACK: 1 | Send ACK
7.921 ACK: 0 | Send ACK
7.921 ACK: 1 | Send ACK
7.921 ACK: 0 | Send ACK
7.921 ACK: 1 | Send ACK
7.922 ACK: 0 | Send ACK
7.922 ACK: 1 | Send ACK
7.922 ACK: 0 | Send ACK
7.923 ACK: 1 | Send ACK
7.923 ACK: 0 | Send ACK
7.923 ACK: 1 | Send ACK
7.925 ACK: 0 | DATA Corrupted
7.925 ACK: 0 | Send ACK
7.925 ACK: 1 | Send ACK
7.926 ACK: 0 | Send ACK
7.926 ACK: 1 | Send ACK
7.927 ACK: 0 | Send ACK
7.927 ACK: 1 | Send ACK
7.928 ACK: 0 | Send ACK
7.928 ACK: 1 | Send ACK
7.929 ACK: 0 | Send ACK
7.930 ACK: 1 | Send ACK
7.931 ACK: 0 | Send ACK
7.931 ACK: 1 | Send ACK
7.932 ACK: 0 | Send ACK
7.932 ACK: 1 | Send ACK
7.932 ACK: 0 | Send ACK
7.933 ACK: 1 | Send ACK
7.934 ACK: 0 | Send ACK
7.935 ACK: 1 | Send ACK
7.936 ACK: 0 | DATA Corrupted
7.936 ACK: 0 | Send ACK
7.936 ACK: 1 | Send ACK
7.937 ACK: 0 | Send ACK
7.937 ACK: 1 | DATA Corrupted
7.938 ACK: 1 | Send ACK
7.938 ACK: 0 | Send ACK
7.938 ACK: 1 | DATA Corrupted
7.939 ACK: 1 | Send ACK
7.939 ACK: 0 | Send ACK
7.939 ACK: 1 | Send ACK
7.939 ACK: 0 | Send ACK
7.940 ACK: 1 | DATA Corrupted
7.940 ACK: 1 | Send ACK
7.942 ACK: 0 | Send ACK
7.942 ACK: 1 | Send ACK
7.942 ACK: 0 | Send ACK
7.943 ACK: 1 | Send ACK
7.943 ACK: 0 | Send ACK
7.944 ACK: 1 | Send ACK
7.944 ACK: 0 | Send ACK
7.945 ACK: 1 | Send ACK
7.945 ACK: 0 | DATA Corrupted
7.946 ACK: 0 | Send ACK
7.947 ACK: 1 | DATA Corrupted
7.947 ACK: 1 | Send ACK
7.948 ACK: 0 | Send ACK
7.951 ACK: 1 | Send ACK
7.952 ACK: 0 | Send ACK
7.952 ACK: 1 | Send ACK
7.953 ACK: 0 | Send ACK
7.953 ACK: 1 | Send ACK
7.953 ACK: 0 | Send ACK
7.953 ACK: 1 | Send ACK
7.954 ACK: 0 | Send ACK
7.954 ACK: 1 | Send ACK
7.954 ACK: 0 | Send ACK
7.955 ACK: 1 | Send ACK
7.956 ACK: 0 | Send ACK
7.956 ACK: 1 | Send ACK
7.957 ACK: 0 | Send ACK
7.957 ACK: 1 | Send ACK
7.957 ACK: 0 | Send ACK
7.958 ACK: 1 | Send ACK
7.958 ACK: 0 | Send ACK
7.959 ACK: 1 | Send ACK
7.959 ACK: 0 | Send ACK
7.960 ACK: 1 | Send ACK
7.961 ACK: 0 | Send ACK
7.961 ACK: 1 | Send ACK
7.962 ACK: 0 | Send ACK
7.962 ACK: 1 | Send ACK
7.962 ACK: 0 | Send ACK
7.963 ACK: 1 | DATA Corrupted
7.964 ACK: 1 | Send ACK
7.964 ACK: 0 | Send ACK
7.965 ACK: 1 | Send ACK
7.968 ACK: 0 | Send ACK
7.968 ACK: 1 | Send ACK
7.969 ACK: 0 | Send ACK
7.969 ACK: 1 | Send ACK
7.969 ACK: 0 | Send ACK
7.970 ACK: 1 | Send ACK
7.970 ACK: 0 | DATA Corrupted
7.970 ACK: 0 | Send ACK
7.971 ACK: 1 | Send ACK
7.971 ACK: 0 | Send ACK
7.971 ACK: 1 | Send ACK
7.972 ACK: 0 | Send ACK
7.973 ACK: 1 | Send ACK
7.973 ACK: 0 | Send ACK
7.974 ACK: 1 | DATA Corrupted
7.975 ACK: 1 | Send ACK
7.975 ACK: 0 | Send ACK
7.975 ACK: 1 | Send ACK
7.976 ACK: 0 | Send ACK
7.976 ACK: 1 | Send ACK
7.977 ACK: 0 | DATA Corrupted
7.977 ACK: 0 | Send ACK
7.978 ACK: 1 | DATA Corrupted
7.978 ACK: 1 | Send ACK
7.982 ACK: 0 | DATA Corrupted
7.983 ACK: 0 | Send ACK
7.983 ACK: 1 | Send ACK
7.984 ACK: 0 | DATA Corrupted
7.984 ACK: 0 | Send ACK
7.984 ACK: 1 | Send ACK
7.985 ACK: 0 | Send ACK
7.985 ACK: 1 | Send ACK
7.985 ACK: 0 | Send ACK
7.986 ACK: 1 | Send ACK
7.986 ACK: 0 | Send ACK
7.986 ACK: 1 | Send ACK
7.986 ACK: 0 | Send ACK
7.990 ACK: 1 | Send ACK
7.990 ACK: 0 | Send ACK
7.991 ACK: 1 | Send ACK
7.991 ACK: 0 | Send ACK
7.992 ACK: 1 | DATA Corrupted
7.992 ACK: 1 | Send ACK
7.992 ACK: 0 | Send ACK
7.993 ACK: 1 | Send ACK
7.993 ACK: 0 | Send ACK
7.994 ACK: 1 | Send ACK
7.994 ACK: 0 | Send ACK
7.995 ACK: 1 | Send ACK
7.996 ACK: 0 | Send ACK
7.996 ACK: 1 | DATA Corrupted
7.997 ACK: 1 | Send ACK
7.999 ACK: 0 | Send ACK
7.999 ACK: 1 | Send ACK
7.999 ACK: 0 | Send ACK
8.000 ACK: 1 | Send ACK
8.000 ACK: 0 | DATA Corrupted
8.000 ACK: 0 | Send ACK
8.001 ACK: 1 | Send ACK
8.001 ACK: 0 | Send ACK
8.002 ACK: 1 | Send ACK
8.002 ACK: 0 | Send ACK
8.002 ACK: 1 | Send ACK
8.003 ACK: 0 | Send ACK
8.003 ACK: 1 | Send ACK
8.004 ACK: 0 | Send ACK
8.004 ACK: 1 | Send ACK
8.005 ACK: 0 | Send ACK
8.006 ACK: 1 | Send ACK
8.007 ACK: 0 | Send ACK
8.007 ACK: 1 | Send ACK
8.008 ACK: 0 | Send ACK
8.008 ACK: 1 | Send ACK
8.009 ACK: 0 | Send ACK
8.009 ACK: 1 | Send ACK
8.009 ACK: 0 | Send ACK
8.010 ACK: 1 | Send ACK
8.010 ACK: 0 | Send ACK
8.011 ACK: 1 | Send ACK
8.013 ACK: 0 | Send ACK
8.015 ACK: 1 | DATA Corrupted
8.015 ACK: 1 | Send ACK
8.016 ACK: 0 | Send ACK
8.016 ACK: 1 | Send ACK
8.016 ACK: 0 | Send ACK
8.017 ACK: 1 | Send ACK
8.017 ACK: 0 | Send ACK
8.017 ACK: 1 | Send ACK
8.017 ACK: 0 | Send ACK
8.018 ACK: 1 | Send ACK
8.018 ACK: 0 | Send ACK
8.019 ACK: 1 | DATA Corrupted
8.019 ACK: 1 | Send ACK
8.020 ACK: 0 | Send ACK
8.020 ACK: 1 | Send ACK
8.021 ACK: 0 | Send ACK
8.021 ACK: 1 | Send ACK
8.022 ACK: 0 | Send ACK
8.022 ACK: 1 | Send ACK
8.023 ACK: 0 | Send ACK
8.023 ACK: 1 | Send ACK
8.024 ACK: 0 | Send ACK
8.025 ACK: 1 | Send ACK
8.025 ACK: 0 | Send ACK
8.026 ACK: 1 | Send ACK
8.026 ACK: 0 | Send ACK
8.027 ACK: 1 | Send ACK
8.027 ACK: 0 | Send ACK
8.027 ACK: 1 | Send ACK
8.028 ACK: 0 | Send ACK
8.028 ACK: 1 | Send ACK
8.029 ACK: 0 | Send ACK
8.029 ACK: 1 | Send ACK
8.031 ACK: 0 | Send ACK
8.032 ACK: 1 | DATA Corrupted
8.033 ACK: 1 | Send ACK
8.033 ACK: 0 | Send ACK
8.033 ACK: 1 | Send ACK
8.033 ACK: 0 | Send ACK
8.034 ACK: 1 | Send ACK
8.034 ACK: 0 | Send ACK
8.034 ACK: 1 | Send ACK
8.035 ACK: 0 | Send ACK
8.036 ACK: 1 | Send ACK
8.037 ACK: 0 | Send ACK
8.038 ACK: 1 | Send ACK
8.038 ACK: 0 | Send ACK
8.039 ACK: 1 | DATA Corrupted
8.039 ACK: 1 | Send ACK
8.039 ACK: 0 | Send ACK
8.039 ACK: 1 | Send ACK
8.040 ACK: 0 | Send ACK
8.040 ACK: 1 | Send ACK
8.041 ACK: 0 | Send ACK
8.043 ACK: 1 | Send ACK
8.044 ACK: 0 | Send ACK
8.044 ACK: 1 | Send ACK
8.044 ACK: 0 | Send ACK
8.044 ACK: 1 | Send ACK
8.044 ACK: 0 | Send ACK
8.044 ACK: 1 | Send ACK
8.045 ACK: 0 | Send ACK
8.045 ACK: 1 | Send ACK
8.046 ACK: 0 | Send ACK
8.048 ACK: 1 | Send ACK
8.048 ACK: 0 | Send ACK
8.049 ACK: 1 | Send ACK
8.049 ACK: 0 | Send ACK
8.049 ACK: 1 | Send ACK
8.049 ACK: 0 | Send ACK
8.050 ACK: 1 | Send ACK
8.050 ACK: 0 | Send ACK
8.050 ACK: 1 | Send ACK
8.052 ACK: 0 | DATA Corrupted
8.052 ACK: 0 | Send ACK
8.053 ACK: 1 | Send ACK
8.053 ACK: 0 | Send ACK
8.054 ACK: 1 | Send ACK
8.054 ACK: 0 | Send ACK
8.054 ACK: 1 | Send ACK
8.055 ACK: 0 | Send ACK
8.055 ACK: 1 | Send ACK
8.055 ACK: 0 | Send ACK
8.056 ACK: 1 | Send ACK
8.057 ACK: 0 | Send ACK
8.059 ACK: 1 | Send ACK
8.060 ACK: 0 | Send ACK
8.060 ACK: 1 | Send ACK
8.060 ACK: 0 | Send ACK
8.061 ACK: 1 | Send ACK
8.061 ACK: 0 | Send ACK
8.061 ACK: 1 | Send ACK
8.061 ACK: 0 | Send ACK
8.062 ACK: 1 | DATA Corrupted
8.062 ACK: 1 | Send ACK
8.064 ACK: 0 | Send ACK
8.065 ACK: 1 | Send ACK
8.066 ACK: 0 | DATA Corrupted
8.067 ACK: 0 | DATA Corrupted
8.067 ACK: 0 | Send ACK
8.068 ACK: 1 | Send ACK
8.068 ACK: 0 | Send ACK
8.068 ACK: 1 | Send ACK
8.069 ACK: 0 | DATA Corrupted
8.069 ACK: 0 | Send ACK
8.069 ACK: 1 | Send ACK
8.070 ACK: 0 | Send ACK
8.070 ACK: 1 | Send ACK
8.071 ACK: 0 | Send ACK
8.072 ACK: 1 | Send ACK
8.072 ACK: 0 | Send ACK
8.072 ACK: 1 | Send ACK
8.073 ACK: 0 | Send ACK
8.073 ACK: 1 | Send ACK
8.073 ACK: 0 | Send ACK
8.074 ACK: 1 | Send ACK
8.074 ACK: 0 | Send ACK
8.075 ACK: 1 | Send ACK
8.076 ACK: 0 | DATA Corrupted
8.076 ACK: 0 | Send ACK
8.076 ACK: 1 | Send ACK
8.077 ACK: 0 | Send ACK
8.077 ACK: 1 | Send ACK
8.078 ACK: 0 | Send ACK
8.078 ACK: 1 | Send ACK
8.078 ACK: 0 | Send ACK
8.079 ACK: 1 | DATA Corrupted
8.081 ACK: 1 | DATA Corrupted
8.082 ACK: 1 | Send ACK
8.082 ACK: 0 | Send ACK
8.082 ACK: 1 | Send ACK
8.083 ACK: 0 | Send ACK
8.084 ACK: 1 | Send ACK
8.084 ACK: 0 | Send ACK
8.084 ACK: 1 | Send ACK
8.085 ACK: 0 | Send ACK
8.085 ACK: 1 | Send ACK
8.086 ACK: 0 | Send ACK
8.086 ACK: 1 | Send ACK
8.086 ACK: 0 | Send ACK
8.087 ACK: 1 | Send ACK
8.087 ACK: 0 | Send ACK
8.091 ACK: 1 | DATA Corrupted
8.091 ACK: 1 | Send ACK
8.091 ACK: 0 | Send ACK
8.091 ACK: 1 | Send ACK
8.092 ACK: 0 | Send ACK
8.092 ACK: 1 | DATA Corrupted
8.092 ACK: 1 | Send ACK
8.093 ACK: 0 | Send ACK
8.093 ACK: 1 | Send ACK
8.093 ACK: 0 | Send ACK
8.093 ACK: 1 | Send ACK
8.094 ACK: 0 | Send ACK
8.095 ACK: 1 | Send ACK
8.095 ACK: 0 | Send ACK
8.096 ACK: 1 | Send ACK
8.098 ACK: 0 | DATA Corrupted
8.098 ACK: 0 | Send ACK
8.099 ACK: 1 | DATA Corrupted
8.099 ACK: 1 | Send ACK
8.100 ACK: 0 | Send ACK
8.100 ACK: 1 | Send ACK
8.100 ACK: 0 | Send ACK
8.101 ACK: 1 | Send ACK
8.102 ACK: 0 | Send ACK
8.102 ACK: 1 | Send ACK
8.102 ACK: 0 | Send ACK
8.103 ACK: 1 | Send ACK
8.103 ACK: 0 | Send ACK
8.104 ACK: 1 | Send ACK
8.104 ACK: 0 | Send ACK
8.105 ACK: 1 | Send ACK
8.105 ACK: 0 | Send ACK
8.106 ACK: 1 | Send ACK
8.107 ACK: 0 | Send ACK
8.109 ACK: 1 | Send ACK
8.109 ACK: 0 | Send ACK
8.109 ACK: 1 | Send ACK
8.110 ACK: 0 | DATA Corrupted
8.110 ACK: 0 | Send ACK
8.111 ACK: 1 | Send ACK
8.111 ACK: 0 | Send ACK
8.111 ACK: 1 | Send ACK
8.112 ACK: 0 | DATA Corrupted
8.113 ACK: 0 | Send ACK
8.114 ACK: 1 | Send ACK
8.116 ACK: 0 | Send ACK
8.116 ACK: 1 | Send ACK
8.117 ACK: 0 | Send ACK
8.117 ACK: 1 | Send ACK
8.118 ACK: 0 | Send ACK
8.118 ACK: 1 | Send ACK
8.119 ACK: 0 | DATA Corrupted
8.119 ACK: 0 | Send ACK
8.120 ACK: 1 | Send ACK
8.120 ACK: 0 | Send ACK
8.120 ACK: 1 | Send ACK
8.121 ACK: 0 | Send ACK
8.123 ACK: 1 | Send ACK
8.124 ACK: 0 | DATA Corrupted
8.124 ACK: 0 | Send ACK
8.124 ACK: 1 | Send ACK
8.125 ACK: 0 | Send ACK
8.125 ACK: 1 | Send ACK
8.125 ACK: 0 | Send ACK
8.125 ACK: 1 | Send ACK
8.126 ACK: 0 | DATA Corrupted
8.126 ACK: 0 | Send ACK
8.126 ACK: 1 | Send ACK
8.127 ACK: 0 | Send ACK
8.129 ACK: 1 | Send ACK
8.130 ACK: 0 | Send ACK
8.130 ACK: 1 | Send ACK
8.130 ACK: 0 | Send ACK
8.131 ACK: 1 | Send ACK
8.131 ACK: 0 | Send ACK
8.132 ACK: 1 | Send ACK
8.132 ACK: 0 | DATA Corrupted
8.133 ACK: 0 | Send ACK
8.133 ACK: 1 | Send ACK
8.134 ACK: 0 | Send ACK
8.139 ACK: 1 | Send ACK
8.139 ACK: 0 | Send ACK
8.139 ACK: 1 | Send ACK
8.140 ACK: 0 | Send ACK
8.140 ACK: 1 | Send ACK
8.140 ACK: 0 | Send ACK
8.141 ACK: 1 | Send ACK
8.141 ACK: 0 | Send ACK
8.141 ACK: 1 | Send ACK
8.142 ACK: 0 | DATA Corrupted
8.143 ACK: 0 | DATA Corrupted
8.143 ACK: 0 | Send ACK
8.147 ACK: 1 | Send ACK
8.149 ACK: 0 | Send ACK
8.150 ACK: 1 | DATA Corrupted
8.150 ACK: 1 | Send ACK
8.150 ACK: 0 | Send ACK
8.151 ACK: 1 | DATA Corrupted
8.151 ACK: 1 | Send ACK
8.151 ACK: 0 | Send ACK
8.152 ACK: 1 | Send ACK
8.152 ACK: 0 | Send ACK
8.153 ACK: 1 | Send ACK
8.153 ACK: 0 | Send ACK
8.154 ACK: 1 | Send ACK
8.154 ACK: 0 | Send ACK
8.155 ACK: 1 | Send ACK
8.155 ACK: 0 | Send ACK
8.155 ACK: 1 | Send ACK
8.156 ACK: 0 | Send ACK
8.156 ACK: 1 | DATA Corrupted
8.156 ACK: 1 | Send ACK
8.157 ACK: 0 | Send ACK
8.157 ACK: 1 | Send ACK
8.157 ACK: 0 | Send ACK
8.158 ACK: 1 | DATA Corrupted
8.159 ACK: 1 | Send ACK
8.159 ACK: 0 | Send ACK
8.159 ACK: 1 | Send ACK
8.160 ACK: 0 | Send ACK
8.160 ACK: 1 | Send ACK
8.161 ACK: 0 | Send ACK
8.161 ACK: 1 | Send ACK
8.162 ACK: 0 | Send ACK
8.162 ACK: 1 | Send ACK
8.163 ACK: 0 | Send ACK
8.167 ACK: 1 | Send ACK
8.167 ACK: 0 | Send ACK
8.168 ACK: 1 | Send ACK
8.168 ACK: 0 | Send ACK
8.168 ACK: 1 | Send ACK
8.169 ACK: 0 | Send ACK
8.169 ACK: 1 | Send ACK
8.169 ACK: 0 | Send ACK
8.170 ACK: 1 | Send ACK
8.171 ACK: 0 | DATA Corrupted
8.171 ACK: 0 | Send ACK
8.172 ACK: 1 | Send ACK
8.173 ACK: 0 | DATA Corrupted
8.173 ACK: 0 | DATA Corrupted
8.173 ACK: 0 | Send ACK
8.174 ACK: 1 | Send ACK
8.174 ACK: 0 | Send ACK
8.174 ACK: 1 | Send ACK
8.175 ACK: 0 | Send ACK
8.175 ACK: 1 | Send ACK
8.175 ACK: 0 | Send ACK
8.176 ACK: 1 | Send ACK
8.176 ACK: 0 | Send ACK
8.177 ACK: 1 | Send ACK
8.178 ACK: 0 | Send ACK
8.178 ACK: 1 | Send ACK
8.179 ACK: 0 | Send ACK
8.179 ACK: 1 | Send ACK
8.180 ACK: 0 | Send ACK
8.181 ACK: 1 | Send ACK
8.182 ACK: 0 | Send ACK
8.182 ACK: 1 | Send ACK
8.183 ACK: 0 | Send ACK
8.184 ACK: 1 | Send ACK
8.184 ACK: 0 | Send ACK
8.184 ACK: 1 | Send ACK
8.185 ACK: 0 | Send ACK
8.185 ACK: 1 | Send ACK
8.185 ACK: 0 | Send ACK
8.185 ACK: 1 | Send ACK
8.186 ACK: 0 | Send ACK
8.186 ACK: 1 | Send ACK
8.186 ACK: 0 | Send ACK
8.187 ACK: 1 | Send ACK
8.187 ACK: 0 | Send ACK
8.188 ACK: 1 | Send ACK
8.188 ACK: 0 | Send ACK
8.188 ACK: 1 | Send ACK
8.189 ACK: 0 | DATA Corrupted
8.189 ACK: 0 | Send ACK
8.189 ACK: 1 | Send ACK
8.190 ACK: 0 | Send ACK
8.190 ACK: 1 | Send ACK
8.192 ACK: 0 | Send ACK
8.200 ACK: 1 | Send ACK
8.200 ACK: 0 | Send ACK
8.200 ACK: 1 | Send ACK
8.201 ACK: 0 | Send ACK
8.201 ACK: 1 | Send ACK
8.201 ACK: 0 | Send ACK
8.202 ACK: 1 | Send ACK
8.202 ACK: 0 | Send ACK
8.202 ACK: 1 | Send ACK
8.203 ACK: 0 | Send ACK
8.204 ACK: 1 | Send ACK
8.204 ACK: 0 | Send ACK
8.205 ACK: 1 | Send ACK
8.205 ACK: 0 | Send ACK
8.205 ACK: 1 | Send ACK
8.205 ACK: 0 | Send ACK
8.206 ACK: 1 | Send ACK
8.206 ACK: 0 | Send ACK
8.207 ACK: 1 | Send ACK
8.207 ACK: 0 | Send ACK
8.208 ACK: 1 | Send ACK
8.208 ACK: 0 | Send ACK
8.209 ACK: 1 | Send ACK
8.209 ACK: 0 | Send ACK
8.210 ACK: 1 | Send ACK
8.210 ACK: 0 | Send ACK
8.210 ACK: 1 | Send ACK
8.211 ACK: 0 | DATA Corrupted
8.211 ACK: 0 | Send ACK
8.212 ACK: 1 | Send ACK
8.212 ACK: 0 | Send ACK
8.213 ACK: 1 | Send ACK
8.215 ACK: 0 | Send ACK
8.216 ACK: 1 | DATA Corrupted
8.216 ACK: 1 | Send ACK
8.216 ACK: 0 | Send ACK
8.217 ACK: 1 | Send ACK
8.217 ACK: 0 | Send ACK
8.217 ACK: 1 | Send ACK
8.217 ACK: 0 | Send ACK
8.218 ACK: 1 | Send ACK
8.218 ACK: 0 | Send ACK
8.219 ACK: 1 | Send ACK
8.219 ACK: 0 | Send ACK
8.220 ACK: 1 | Send ACK
8.220 ACK: 0 | Send ACK
8.220 ACK: 1 | Send ACK
8.221 ACK: 0 | Send ACK
8.221 ACK: 1 | Send ACK
8.221 ACK: 0 | Send ACK
8.221 ACK: 1 | Send ACK
8.222 ACK: 0 | Send ACK
8.223 ACK: 1 | Send ACK
8.224 ACK: 0 | Send ACK
8.224 ACK: 1 | Send ACK
8.225 ACK: 0 | Send ACK
8.226 ACK: 1 | Send ACK
8.226 ACK: 0 | Send ACK
8.227 ACK: 1 | Send ACK
8.227 ACK: 0 | Send ACK
8.228 ACK: 1 | Send ACK
8.231 ACK: 0 | Send ACK
8.232 ACK: 1 | Send ACK
8.233 ACK: 0 | Send ACK
8.233 ACK: 1 | Send ACK
8.233 ACK: 0 | Send ACK
8.233 ACK: 1 | Send ACK
8.234 ACK: 0 | Send ACK
8.234 ACK: 1 | Send ACK
8.234 ACK: 0 | Send ACK
8.234 ACK: 1 | Send ACK
8.235 ACK: 0 | Send ACK
8.236 ACK: 1 | Send ACK
8.236 ACK: 0 | Send ACK
8.236 ACK: 1 | Send ACK
8.237 ACK: 0 | Send ACK
8.237 ACK: 1 | Send ACK
8.237 ACK: 0 | DATA Corrupted
8.238 ACK: 0 | Send ACK
8.238 ACK: 1 | Send ACK
8.238 ACK: 0 | Send ACK
8.239 ACK: 1 | Send ACK
8.239 ACK: 0 | Send ACK
8.240 ACK: 1 | Send ACK
8.240 ACK: 0 | Send ACK
8.241 ACK: 1 | Send ACK
8.241 ACK: 0 | Send ACK
8.242 ACK: 1 | Send ACK
8.242 ACK: 0 | Send ACK
8.243 ACK: 1 | Send ACK
8.243 ACK: 0 | Send ACK
8.243 ACK: 1 | Send ACK
8.244 ACK: 0 | Send ACK
8.245 ACK: 1 | Send ACK
8.245 ACK: 0 | Send ACK
8.246 ACK: 1 | Send ACK
8.246 ACK: 0 | Send ACK
8.246 ACK: 1 | Send ACK
8.248 ACK: 0 | Send ACK
8.249 ACK: 1 | Send ACK
8.249 ACK: 0 | Send ACK
8.249 ACK: 1 | Send ACK
8.250 ACK: 0 | Send ACK
8.250 ACK: 1 | Send ACK
8.251 ACK: 0 | DATA Corrupted
8.251 ACK: 0 | Send ACK
8.252 ACK: 1 | Send ACK
8.252 ACK: 0 | Send ACK
8.252 ACK: 1 | Send ACK
8.253 ACK: 0 | Send ACK
8.253 ACK: 1 | Send ACK
8.253 ACK: 0 | Send ACK
8.253 ACK: 1 | Send ACK
8.254 ACK: 0 | Send ACK
8.255 ACK: 1 | Send ACK
8.255 ACK: 0 | Send ACK
8.256 ACK: 1 | Send ACK
8.256 ACK: 0 | Send ACK
8.257 ACK: 1 | Send ACK
8.257 ACK: 0 | Send ACK
8.257 ACK: 1 | Send ACK
8.258 ACK: 0 | Send ACK
8.258 ACK: 1 | Send ACK
8.260 ACK: 0 | Send ACK
8.264 ACK: 1 | Send ACK
8.265 ACK: 0 | Send ACK
8.265 ACK: 1 | Send ACK
8.265 ACK: 0 | Send ACK
8.266 ACK: 1 | Send ACK
8.266 ACK: 0 | Send ACK
8.266 ACK: 1 | Send ACK
8.267 ACK: 0 | Send ACK
8.267 ACK: 1 | Send ACK
8.267 ACK: 0 | Send ACK
8.268 ACK: 1 | Send ACK
8.268 ACK: 0 | Send ACK
8.269 ACK: 1 | Send ACK
8.269 ACK: 0 | Send ACK
8.270 ACK: 1 | Send ACK
8.270 ACK: 0 | Send ACK
8.270 ACK: 1 | Send ACK
8.271 ACK: 0 | Send ACK
8.271 ACK: 1 | Send ACK
8.273 ACK: 0 | DATA Corrupted
8.273 ACK: 0 | Send ACK
8.274 ACK: 1 | Send ACK
8.275 ACK: 0 | Send ACK
8.275 ACK: 1 | Send ACK
8.275 ACK: 0 | Send ACK
8.275 ACK: 1 | Send ACK
8.276 ACK: 0 | Send ACK
8.276 ACK: 1 | Send ACK
8.276 ACK: 0 | Send ACK
8.277 ACK: 1 | Send ACK
8.277 ACK: 0 | Send ACK
8.278 ACK: 1 | DATA Corrupted
8.278 ACK: 1 | Send ACK
8.279 ACK: 0 | Send ACK
8.279 ACK: 1 | Send ACK
8.281 ACK: 0 | DATA Corrupted
8.282 ACK: 0 | Send ACK
8.282 ACK: 1 | Send ACK
8.282 ACK: 0 | Send ACK
8.283 ACK: 1 | Send ACK
8.283 ACK: 0 | DATA Corrupted
8.283 ACK: 0 | Send ACK
8.284 ACK: 1 | Send ACK
8.284 ACK: 0 | Send ACK
8.285 ACK: 1 | Send ACK
8.285 ACK: 0 | Send ACK
8.286 ACK: 1 | Send ACK
8.286 ACK: 0 | Send ACK
8.287 ACK: 1 | Send ACK
8.287 ACK: 0 | Send ACK
8.288 ACK: 1 | Send ACK
8.288 ACK: 0 | Send ACK
8.289 ACK: 1 | Send ACK
8.290 ACK: 0 | Send ACK
8.290 ACK: 1 | Send ACK
8.292 ACK: 0 | DATA Corrupted
8.292 ACK: 0 | Send ACK
8.292 ACK: 1 | Send ACK
8.293 ACK: 0 | Send ACK
8.293 ACK: 1 | Send ACK
8.294 ACK: 0 | Send ACK
8.294 ACK: 1 | Send ACK
8.295 ACK: 0 | Send ACK
8.295 ACK: 1 | Send ACK
8.296 ACK: 0 | Send ACK
8.297 ACK: 1 | Send ACK
8.297 ACK: 0 | Send ACK
8.298 ACK: 1 | Send ACK
8.298 ACK: 0 | Send ACK
8.298 ACK: 1 | Send ACK
8.299 ACK: 0 | Send ACK
8.299 ACK: 1 | Send ACK
8.299 ACK: 0 | Send ACK
8.299 ACK: 1 | Send ACK
8.300 ACK: 0 | Send ACK
8.300 ACK: 1 | Send ACK
8.301 ACK: 0 | Send ACK
8.301 ACK: 1 | Send ACK
8.302 ACK: 0 | Send ACK
8.302 ACK: 1 | Send ACK
8.302 ACK: 0 | Send ACK
